Player,Nation,Squad,Comp,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Position 1,Position 2
Sergi Darder,ESP,Mallorca,es La Liga,29 years,24.0,39.0,26,13,21,5,12.0,31,38.7,19,20,4,16,16,55,16,0,Midfielder,
Achraf Dari,MAR,Brest,fr Ligue 1,24 years,1.3,1.0,1,1,0,0,0.0,2,0.0,2,2,0,2,5,6,9,1,Defender,Forward
Matteo Darmian,ITA,Inter,it Serie A,33 years,26.7,48.0,22,23,15,10,20.0,53,37.7,33,27,11,16,13,61,55,0,Defender,
Lukas Daschner,GER,Bochum,de Bundesliga,24 years,6.0,9.0,4,2,3,4,4.0,9,44.4,5,7,0,7,2,11,2,0,Midfielder,Forward
Josh Dasilva,ENG,Brentford,eng Premier League,24 years,0.3,2.0,1,0,1,1,0.0,0,,0,0,0,0,0,2,0,0,Defender,Forward
David Datro Fofana,CIV,Burnley,eng Premier League,20 years,9.8,10.0,5,3,5,2,3.0,6,50.0,3,9,3,6,1,11,2,0,Forward,
David Datro Fofana,CIV,Union Berlin,de Bundesliga,20 years,7.6,10.0,7,3,5,2,4.0,9,44.4,5,4,0,4,0,10,5,0,Forward,Midfielder
Juan David Cabal,COL,Hellas Verona,it Serie A,22 years,16.6,36.0,27,19,14,3,18.0,29,62.1,11,30,9,21,26,62,55,2,Defender,
Jonathan David,CAN,Lille,fr Ligue 1,23 years,29.2,26.0,15,6,13,7,8.0,26,30.8,18,16,0,16,9,35,4,0,Forward,
Alphonso Davies,CAN,Bayern Munich,de Bundesliga,22 years,22.9,47.0,24,29,13,5,30.0,53,56.6,23,30,4,26,26,73,49,1,Defender,
Ben Davies,WAL,Tottenham,eng Premier League,30 years,12.1,24.0,17,13,8,3,16.0,21,76.2,5,17,15,2,10,34,35,0,Defender,
Tom Davies,ENG,Sheffield Utd,eng Premier League,25 years,2.5,10.0,5,4,3,3,3.0,9,33.3,6,2,1,1,3,13,6,1,Midfielder,
Keinan Davis,ENG,Udinese,it Serie A,25 years,2.1,0.0,0,0,0,0,0.0,0,,0,0,0,0,0,0,3,0,Forward,Midfielder
Paweł Dawidowicz,POL,Hellas Verona,it Serie A,28 years,23.8,53.0,30,33,18,2,17.0,29,58.6,12,17,9,8,24,77,114,1,Defender,
Craig Dawson,ENG,Wolves,eng Premier League,33 years,24.5,30.0,20,23,6,1,22.0,34,64.7,12,51,39,12,16,46,120,1,Defender,
Kevin De Bruyne,BEL,Manchester City,eng Premier League,32 years,13.6,14.0,9,1,5,8,7.0,20,35.0,13,5,0,5,4,18,4,0,Midfielder,
Bobby De Cordova-Reid,JAM,Fulham,eng Premier League,30 years,15.8,22.0,14,5,15,2,4.0,16,25.0,12,24,2,22,5,27,14,0,Forward,
Charles De Ketelaere,BEL,Atalanta,it Serie A,22 years,22.5,33.0,21,3,12,18,10.0,20,50.0,10,30,2,28,7,40,6,0,Forward,Midfielder
Rodrigo De Paul,ARG,Atlético Madrid,es La Liga,29 years,23.1,31.0,21,11,14,6,15.0,38,39.5,23,28,1,27,11,42,15,2,Midfielder,
Mattia De Sciglio,ITA,Juventus,it Serie A,30 years,0.5,0.0,0,0,0,0,0.0,0,,0,1,0,1,1,1,2,0,Defender,
Lorenzo De Silvestri,ITA,Bologna,it Serie A,35 years,7.5,10.0,8,5,2,3,4.0,7,57.1,3,9,4,5,6,16,27,0,Defender,
Thibault De Smet,BEL,Reims,fr Ligue 1,25 years,20.3,56.0,35,36,16,4,33.0,59,55.9,26,25,5,20,21,77,51,1,Defender,
Koni De Winter,BEL,Genoa,it Serie A,21 years,26.4,44.0,25,26,13,5,21.0,31,67.7,10,30,10,20,21,65,78,0,Defender,
Grégoire Defrel,MTQ,Sassuolo,it Serie A,32 years,8.4,17.0,8,7,5,5,7.0,15,46.7,8,10,0,10,3,20,9,0,Forward,Midfielder
Alessandro Deiola,ITA,Cagliari,it Serie A,27 years,17.9,33.0,19,13,16,4,18.0,47,38.3,29,16,6,10,9,42,37,0,Midfielder,
Romain Del Castillo,FRA,Brest,fr Ligue 1,27 years,27.7,46.0,29,14,18,14,18.0,70,25.7,52,33,1,32,9,55,8,0,Forward,
Thomas Delaine,FRA,Strasbourg,fr Ligue 1,31 years,22.7,38.0,19,29,8,1,20.0,42,47.6,22,18,2,16,17,55,51,0,Defender,Midfielder
Sacha Delaye,FRA,Montpellier,fr Ligue 1,21 years,1.4,7.0,2,2,2,3,1.0,6,16.7,5,2,0,2,0,7,1,0,Midfielder,Forward
Hannes Delcroix,BEL,Burnley,eng Premier League,24 years,6.5,10.0,6,6,4,0,3.0,4,75.0,1,9,3,6,9,19,26,0,Defender,
Alessandro Dellavalle,ITA,Torino,it Serie A,19 years,0.2,0.0,0,0,0,0,0.0,0,,0,1,1,0,1,1,0,0,Defender,
Olivier Deman,BEL,Werder Bremen,de Bundesliga,23 years,15.2,28.0,15,21,4,3,18.0,38,47.4,20,24,8,16,14,42,49,1,Defender,
Karamoko Dembélé,ENG,Brest,fr Ligue 1,20 years,0.2,0.0,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,Midfielder,Forward
Ousmane Dembélé,FRA,Paris S-G,fr Ligue 1,26 years,16.7,19.0,14,2,7,10,6.0,13,46.2,7,11,0,11,5,24,4,1,Midfielder,Forward
Jessy Deminguet,FRA,Strasbourg,fr Ligue 1,25 years,7.7,14.0,9,6,8,0,6.0,18,33.3,12,8,0,8,9,23,5,1,Midfielder,Forward
Ermedin Demirović,BIH,Augsburg,de Bundesliga,25 years,31.9,24.0,14,5,16,3,12.0,40,30.0,28,28,2,26,11,35,26,0,Forward,Midfielder
Diego Demme,GER,Napoli,it Serie A,31 years,0.8,1.0,1,0,1,0,0.0,1,0.0,1,0,0,0,0,1,0,0,Midfielder,
Sepp van den Berg,NED,Mainz 05,de Bundesliga,21 years,31.5,38.0,23,20,15,3,15.0,26,57.7,11,66,36,30,43,81,159,2,Defender,
Leander Dendoncker,BEL,Aston Villa,eng Premier League,28 years,1.3,6.0,4,3,2,1,4.0,5,80.0,1,5,2,3,2,8,3,1,Midfielder,
Leander Dendoncker,BEL,Napoli,it Serie A,28 years,0.3,0.0,0,0,0,0,0.0,0,,0,1,1,0,0,0,0,0,Midfielder,
Rémy Descamps,FRA,Nantes,fr Ligue 1,27 years,6.0,0.0,0,0,0,0,0.0,0,,0,0,0,0,0,0,7,0,Goalkeeper,
Mikkel Desler,DEN,Toulouse,fr Ligue 1,28 years,17.2,18.0,12,8,7,3,9.0,17,52.9,8,32,13,19,19,37,38,0,Defender,
Arthur Desmas,FRA,Le Havre,fr Ligue 1,29 years,33.0,0.0,0,0,0,0,0.0,2,0.0,2,0,0,0,0,0,13,1,Goalkeeper,
Mattia Destro,ITA,Empoli,it Serie A,32 years,4.1,2.0,1,0,2,0,1.0,1,100.0,0,4,0,4,2,4,3,0,Forward,Midfielder
Samuele Di Benedetto,GER,Stuttgart,de Bundesliga,18 years,0.1,0.0,0,0,0,0,0.0,0,,0,0,0,0,1,1,0,0,Midfielder,
Federico Di Francesco,ITA,Lecce,it Serie A,29 years,0.2,1.0,0,0,1,0,0.0,0,,0,0,0,0,0,1,0,0,Forward,Midfielder
Raffaele Di Gennaro,ITA,Inter,it Serie A,29 years,0.3,0.0,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,Goalkeeper,
Michele Di Gregorio,ITA,Monza,it Serie A,26 years,31.9,1.0,0,1,0,0,1.0,4,25.0,3,1,0,1,1,2,10,2,Goalkeeper,
Giovanni Di Lorenzo,ITA,Napoli,it Serie A,29 years,35.9,58.0,36,26,26,6,32.0,68,47.1,36,43,16,27,24,82,45,0,Defender,
Alessandro Di Pardo,ITA,Cagliari,it Serie A,24 years,4.0,4.0,1,3,0,1,0.0,3,0.0,3,9,2,7,5,9,7,0,Defender,Midfielder
Boulaye Dia,SEN,Salernitana,it Serie A,26 years,12.7,4.0,2,2,2,0,1.0,3,33.3,2,5,0,5,3,7,7,0,Forward,Midfielder
Moussa Diaby,FRA,Aston Villa,eng Premier League,24 years,24.2,12.0,5,5,4,3,4.0,22,18.2,18,8,1,7,9,21,6,0,Forward,Midfielder
Lamine Diack,SEN,Nantes,fr Ligue 1,22 years,0.0,0.0,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,Midfielder,
Mouctar Diakhaby,GUI,Valencia,es La Liga,26 years,11.9,18.0,11,9,9,0,11.0,13,84.6,2,17,7,10,11,29,62,0,Defender,Midfielder
Mamadou Diakhon,FRA,Reims,fr Ligue 1,17 years,2.3,5.0,3,2,1,2,3.0,9,33.3,6,1,0,1,1,6,1,0,Forward,Midfielder
Bafodé Diakité,FRA,Lille,fr Ligue 1,22 years,18.8,29.0,20,12,15,2,24.0,32,75.0,8,16,8,8,21,50,49,1,Defender,
Ibrahim Diakité,GUI,Reims,fr Ligue 1,19 years,1.2,1.0,0,0,1,0,0.0,1,0.0,1,3,0,3,2,3,5,0,Defender,
Moussa Diakité,MLI,Cádiz,es La Liga,19 years,0.0,0.0,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,Midfielder,
Oumar Diakité,CIV,Reims,fr Ligue 1,19 years,17.6,25.0,12,10,9,6,7.0,21,33.3,14,13,0,13,7,32,7,0,Forward,
Amad Diallo,CIV,Manchester Utd,eng Premier League,21 years,4.3,10.0,3,1,6,3,3.0,7,42.9,4,3,1,2,1,11,6,0,Forward,Midfielder
Amadou Diallo,ENG,Newcastle Utd,eng Premier League,20 years,0.0,0.0,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,Midfielder,
Assane Diao,SEN,Betis,es La Liga,17 years,11.6,20.0,12,5,9,6,6.0,17,35.3,11,22,4,18,7,27,7,0,Forward,
Habib Diarra,SEN,Strasbourg,fr Ligue 1,19 years,25.6,30.0,23,8,20,2,9.0,33,27.3,24,23,4,19,17,47,15,0,Midfielder,Forward
Moussa Diarra,MLI,Toulouse,fr Ligue 1,22 years,15.5,32.0,12,16,15,1,13.0,27,48.1,14,30,14,16,20,52,43,0,Defender,
Rúben Dias,POR,Manchester City,eng Premier League,26 years,28.4,39.0,20,14,21,4,19.0,26,73.1,7,32,17,15,30,69,77,0,Defender,
Krépin Diatta,SEN,Monaco,fr Ligue 1,24 years,13.4,37.0,20,17,16,4,27.0,49,55.1,22,17,2,15,16,53,22,0,Defender,Forward
Mory Diaw,SEN,Clermont Foot,fr Ligue 1,30 years,30.0,1.0,1,1,0,0,1.0,2,50.0,1,0,0,0,1,2,13,5,Goalkeeper,
Mahamadou Diawara,FRA,Lyon,fr Ligue 1,18 years,4.0,9.0,6,4,5,0,3.0,11,27.3,8,4,1,3,4,13,4,0,Midfielder,
Brahim Díaz,MAR,Real Madrid,es La Liga,23 years,17.2,29.0,19,4,16,9,6.0,13,46.2,7,16,1,15,5,34,2,0,Forward,Midfielder
Luis Díaz,COL,Liverpool,eng Premier League,26 years,29.2,35.0,25,5,17,13,7.0,30,23.3,23,15,0,15,3,38,8,0,Forward,
Víctor Díaz,ESP,Granada,es La Liga,35 years,1.8,5.0,3,2,3,0,1.0,3,33.3,2,1,0,1,1,6,8,0,Defender,Midfielder
Famara Diedhiou,SEN,Granada,es La Liga,30 years,1.0,1.0,1,0,1,0,0.0,1,0.0,1,0,0,0,0,1,2,0,Forward,Midfielder
Justin Diehl,GER,Köln,de Bundesliga,18 years,1.9,0.0,0,0,0,0,0.0,0,,0,1,1,0,0,0,0,1,Forward,Midfielder
Bamba Dieng,SEN,Lorient,fr Ligue 1,23 years,6.1,3.0,3,0,3,0,1.0,3,33.3,2,3,0,3,0,3,7,0,Forward,
Eric Dier,ENG,Tottenham,eng Premier League,29 years,2.2,2.0,1,2,0,0,2.0,2,100.0,0,3,3,0,2,4,12,0,Defender,
Eric Dier,ENG,Bayern Munich,de Bundesliga,29 years,13.0,11.0,8,5,5,1,5.0,6,83.3,1,20,12,8,10,21,48,1,Defender,
Guillaume Dietsch,FRA,Metz,fr Ligue 1,22 years,0.8,0.0,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,Goalkeeper,
Florian Dietz,GER,Köln,de Bundesliga,24 years,0.8,0.0,0,0,0,0,0.0,0,,0,1,0,1,0,0,0,0,Forward,Midfielder
Lucas Digne,FRA,Aston Villa,eng Premier League,30 years,26.8,47.0,19,35,9,3,25.0,44,56.8,19,20,2,18,26,73,67,0,Defender,
Federico Dimarco,ITA,Inter,it Serie A,25 years,23.1,42.0,25,19,14,9,17.0,35,48.6,18,18,3,15,9,51,34,1,Defender,
Stole Dimitrievski,MKD,Rayo Vallecano,es La Liga,29 years,37.0,1.0,1,1,0,0,1.0,1,100.0,0,0,0,0,0,1,17,3,Goalkeeper,
Junior Dina Ebimbe,FRA,Eintracht Frankfurt,de Bundesliga,22 years,21.7,44.0,29,15,17,12,18.0,41,43.9,23,28,7,21,9,53,39,1,Midfielder,Defender
Eren Dinkçi,GER,Heidenheim,de Bundesliga,21 years,29.4,32.0,18,16,13,3,19.0,48,39.6,29,40,4,36,12,44,21,0,Forward,Midfielder
Sinaly Diomande,CIV,Lyon,fr Ligue 1,22 years,9.9,10.0,4,5,3,2,9.0,16,56.3,7,12,9,3,15,25,26,1,Defender,
Edan Diop,FRA,Monaco,fr Ligue 1,18 years,1.8,10.0,8,6,3,1,7.0,9,77.8,2,3,0,3,1,11,5,0,Midfielder,Defender
Issa Diop,FRA,Fulham,eng Premier League,26 years,15.8,30.0,16,23,5,2,15.0,20,75.0,5,28,19,9,17,47,80,1,Defender,
Sofiane Diop,FRA,Nice,fr Ligue 1,23 years,5.5,8.0,6,3,4,1,4.0,10,40.0,6,4,0,4,3,11,3,0,Forward,
Andy Diouf,FRA,Lens,fr Ligue 1,20 years,14.6,28.0,19,12,11,5,14.0,22,63.6,8,13,3,10,3,31,5,1,Midfielder,
Yehvann Diouf,FRA,Reims,fr Ligue 1,23 years,34.0,0.0,0,0,0,0,0.0,1,0.0,1,0,0,0,1,1,19,3,Goalkeeper,
Axel Disasi,FRA,Chelsea,eng Premier League,25 years,28.7,33.0,19,20,10,3,23.0,30,76.7,7,26,19,7,18,51,102,2,Defender,
Tiago Djaló,POR,Juventus,it Serie A,23 years,0.2,0.0,0,0,0,0,0.0,0,,0,1,0,1,0,0,1,0,Defender,
Chaim El Djebali,TUN,Lyon,fr Ligue 1,19 years,0.1,0.0,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,Midfielder,
Djené,TOG,Getafe,es La Liga,31 years,27.6,34.0,19,18,13,3,15.0,26,57.7,11,31,15,16,23,57,70,0,Defender,Midfielder
Koffi Djidji,CIV,Torino,it Serie A,30 years,8.4,14.0,9,9,5,0,3.0,4,75.0,1,10,5,5,10,24,20,0,Defender,
Berat Djimsiti,ALB,Atalanta,it Serie A,30 years,31.5,42.0,24,29,12,1,19.0,31,61.3,12,53,33,20,57,99,100,0,Defender,
Marko Dmitrović,SRB,Sevilla,es La Liga,31 years,13.0,1.0,1,1,0,0,1.0,2,50.0,1,0,0,0,1,2,5,0,Goalkeeper,
Ben Doak,SCO,Liverpool,eng Premier League,17 years,0.2,0.0,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,Forward,
Ritsu Doan,JPN,Freiburg,de Bundesliga,25 years,25.0,50.0,27,21,19,10,21.0,36,58.3,15,30,3,27,9,59,29,0,Defender,Midfielder
Lewis Dobbin,ENG,Everton,eng Premier League,20 years,2.6,9.0,7,3,5,1,5.0,9,55.6,4,5,1,4,1,10,0,0,Midfielder,
Dodô,BRA,Fiorentina,it Serie A,24 years,5.8,5.0,3,1,4,0,2.0,5,40.0,3,2,0,2,5,10,11,0,Defender,
Danilho Doekhi,NED,Union Berlin,de Bundesliga,25 years,24.0,34.0,23,18,16,0,15.0,21,71.4,6,46,25,21,38,72,111,1,Defender,
Matt Doherty,IRL,Wolves,eng Premier League,31 years,12.8,31.0,18,17,10,4,12.0,23,52.2,11,15,5,10,7,38,47,0,Defender,Midfielder
Josh Doig,SCO,Hellas Verona,it Serie A,21 years,9.2,16.0,9,9,7,0,13.0,17,76.5,4,12,3,9,4,20,17,1,Defender,
Josh Doig,SCO,Sassuolo,it Serie A,21 years,14.9,25.0,17,16,9,0,15.0,27,55.6,12,31,10,21,16,41,38,0,Defender,
Jeremy Doku,BEL,Manchester City,eng Premier League,21 years,17.7,39.0,22,13,12,14,9.0,20,45.0,11,14,0,14,9,48,5,0,Forward,Midfielder
Jeremy Doku,BEL,Rennes,fr Ligue 1,21 years,1.2,2.0,2,1,0,1,1.0,1,100.0,0,0,0,0,0,2,0,0,Forward,
Jaume Doménech,ESP,Valencia,es La Liga,32 years,0.9,0.0,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,Goalkeeper,
Carlos Dominguez,ESP,Celta Vigo,es La Liga,22 years,17.6,33.0,21,17,9,7,23.0,37,62.2,14,24,12,12,22,55,78,0,Defender,
Mario Dominguez,ESP,Valencia,es La Liga,19 years,0.3,0.0,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,Forward,
Nicolás Domínguez,ARG,Nottingham Forest,eng Premier League,25 years,16.6,63.0,34,35,27,1,23.0,48,47.9,25,31,5,26,18,81,24,0,Midfielder,Forward
Nicolás Domínguez,ARG,Bologna,it Serie A,25 years,1.1,1.0,0,1,0,0,0.0,2,0.0,2,3,0,3,0,1,2,0,Midfielder,
Giulio Donati,ITA,Monza,it Serie A,33 years,0.4,0.0,0,0,0,0,0.0,0,,0,0,0,0,0,0,1,1,Defender,
Jamie Donley,NIR,Tottenham,eng Premier League,18 years,0.0,0.0,0,0,0,0,0.0,0,,0,0,0,0,0,0,3,0,Forward,
Gianluigi Donnarumma,ITA,Paris S-G,fr Ligue 1,24 years,24.1,0.0,0,0,0,0,0.0,0,,0,0,0,0,1,1,9,4,Goalkeeper,
Patrick Dorgu,DEN,Lecce,it Serie A,18 years,17.4,43.0,22,22,17,4,22.0,34,64.7,12,16,5,11,9,52,45,2,Defender,Midfielder
Niklas Dorsch,GER,Augsburg,de Bundesliga,25 years,15.4,35.0,24,13,21,1,13.0,33,39.4,20,15,9,6,16,51,27,0,Midfielder,
Alberto Dossena,ITA,Cagliari,it Serie A,24 years,33.1,55.0,35,43,12,0,32.0,48,66.7,16,50,27,23,45,100,172,2,Defender,
Carlos Dotor,ESP,Celta Vigo,es La Liga,22 years,7.9,14.0,7,3,8,3,4.0,13,30.8,9,12,2,10,4,18,4,0,Midfielder,
Abdoulaye Doucouré,MLI,Everton,eng Premier League,30 years,29.2,43.0,27,20,14,9,18.0,46,39.1,28,23,3,20,15,58,19,0,Forward,Midfielder
Cheick Doucouré,MLI,Crystal Palace,eng Premier League,23 years,10.2,34.0,17,15,13,6,18.0,30,60.0,12,13,2,11,20,54,12,0,Midfielder,
Siriné Doucouré,MLI,Lorient,fr Ligue 1,21 years,4.7,8.0,6,0,4,4,3.0,3,100.0,0,4,0,4,1,9,6,0,Forward,
Désiré Doué,FRA,Rennes,fr Ligue 1,18 years,18.1,32.0,18,11,14,7,10.0,33,30.3,23,30,1,29,14,46,8,0,Midfielder,Forward
Guela Doué,CIV,Rennes,fr Ligue 1,20 years,13.7,28.0,21,14,12,2,22.0,32,68.8,10,12,1,11,15,43,65,1,Defender,
Alfie Doughty,ENG,Luton Town,eng Premier League,23 years,32.5,63.0,40,29,18,16,37.0,82,45.1,45,51,9,42,31,94,43,4,Defender,
Douglas,BRA,Nantes,fr Ligue 1,26 years,19.7,70.0,42,34,30,6,30.0,59,50.8,29,22,8,14,26,96,30,0,Midfielder,
Ismaël Doukouré,FRA,Strasbourg,fr Ligue 1,20 years,18.4,23.0,16,7,14,2,13.0,21,61.9,8,19,7,12,19,42,29,2,Midfielder,Defender
Kamory Doumbia,MLI,Brest,fr Ligue 1,20 years,9.8,28.0,18,8,10,10,10.0,29,34.5,19,14,0,14,9,37,6,0,Midfielder,
Anastasios Douvikas,GRE,Celta Vigo,es La Liga,23 years,10.1,15.0,7,2,6,7,3.0,8,37.5,5,6,3,3,2,17,9,0,Forward,
Artem Dovbyk,UKR,Girona,es La Liga,26 years,28.7,4.0,3,2,1,1,0.0,2,0.0,2,8,1,7,0,4,17,0,Forward,
Nikola Dovedan,AUT,Heidenheim,de Bundesliga,29 years,7.3,14.0,9,2,10,2,5.0,25,20.0,20,9,0,9,1,15,3,0,Midfielder,Forward
Damion Downs,USA,Köln,de Bundesliga,19 years,2.0,1.0,1,1,0,0,1.0,2,50.0,1,1,0,1,0,1,1,0,Forward,Midfielder
Tommy Doyle,ENG,Wolves,eng Premier League,21 years,13.6,26.0,13,11,10,5,14.0,23,60.9,9,22,9,13,12,38,18,0,Midfielder,
Radu Drăgușin,ROU,Tottenham,eng Premier League,21 years,4.8,5.0,3,5,0,0,3.0,3,100.0,0,5,4,1,8,13,19,0,Defender,
Radu Drăgușin,ROU,Genoa,it Serie A,21 years,19.0,16.0,11,9,6,1,8.0,9,88.9,1,18,12,6,21,37,87,3,Defender,
Dion Drena Beljo,CRO,Augsburg,de Bundesliga,21 years,6.5,0.0,0,0,0,0,0.0,2,0.0,2,8,1,7,1,1,4,0,Forward,Midfielder
Tim Drexler,GER,Hoffenheim,de Bundesliga,18 years,6.4,16.0,9,12,4,0,8.0,17,47.1,9,12,8,4,8,24,14,0,Defender,
Domingos Duarte,POR,Getafe,es La Liga,28 years,10.1,7.0,4,6,0,1,5.0,7,71.4,2,7,5,2,8,15,27,0,Defender,
Rubén Duarte,ESP,Alavés,es La Liga,27 years,20.9,39.0,20,21,16,2,21.0,31,67.7,10,21,6,15,23,62,69,0,Defender,
Martin Dúbravka,SVK,Newcastle Utd,eng Premier League,34 years,22.1,0.0,0,0,0,0,0.0,4,0.0,4,0,0,0,0,0,8,1,Goalkeeper,
Marvin Ducksch,GER,Werder Bremen,de Bundesliga,29 years,30.0,8.0,3,4,3,1,6.0,14,42.9,8,2,0,2,4,12,25,0,Forward,
Ondrej Duda,SVK,Hellas Verona,it Serie A,28 years,27.3,59.0,39,17,35,7,31.0,52,59.6,21,29,12,17,26,85,21,0,Midfielder,
Denzel Dumfries,NED,Inter,it Serie A,27 years,18.2,22.0,13,9,11,2,9.0,23,39.1,14,15,6,9,12,34,33,1,Defender,
Paul Dummett,WAL,Newcastle Utd,eng Premier League,31 years,0.2,1.0,0,1,0,0,1.0,1,100.0,0,0,0,0,0,1,1,0,Defender,
Alfred Duncan,GHA,Fiorentina,it Serie A,30 years,21.0,35.0,22,13,15,7,15.0,35,42.9,20,27,5,22,11,46,13,0,Midfielder,
Lewis Dunk,ENG,Brighton,eng Premier League,31 years,31.9,27.0,14,17,9,1,13.0,36,36.1,23,49,37,12,31,58,90,1,Defender,
Jáder Durán,COL,Aston Villa,eng Premier League,19 years,5.3,6.0,5,3,1,2,1.0,6,16.7,5,6,0,6,1,7,10,0,Forward,Midfielder
Julien Duranville,BEL,Dortmund,de Bundesliga,17 years,0.1,1.0,0,0,1,0,1.0,1,100.0,0,0,0,0,0,1,0,0,Forward,Midfielder
Hugo Duro,ESP,Valencia,es La Liga,23 years,33.1,16.0,8,5,8,3,9.0,29,31.0,20,24,5,19,5,21,27,0,Forward,
Jean-Kevin Duverne,HAI,Nantes,fr Ligue 1,26 years,15.0,37.0,19,16,17,4,18.0,44,40.9,26,17,5,12,18,55,34,0,Defender,
Paulo Dybala,ARG,Roma,it Serie A,29 years,21.8,22.0,13,3,10,9,2.0,18,11.1,16,12,0,12,3,25,6,1,Forward,Midfielder
Aron Dønnum,NOR,Toulouse,fr Ligue 1,25 years,17.7,16.0,10,3,8,5,7.0,22,31.8,15,13,0,13,8,24,16,1,Forward,Midfielder
George Earthy,ENG,West Ham,eng Premier League,18 years,0.4,0.0,0,0,0,0,0.0,1,0.0,1,0,0,0,1,1,0,0,Forward,
Simon Ebonog,CMR,Le Havre,fr Ligue 1,18 years,0.2,1.0,1,0,1,0,1.0,1,100.0,0,1,1,0,0,1,1,0,Midfielder,
Festy Ebosele,IRL,Udinese,it Serie A,20 years,18.9,33.0,20,23,9,1,21.0,35,60.0,14,33,2,31,10,43,27,0,Defender,
Enzo Ebosse,CMR,Udinese,it Serie A,24 years,0.1,1.0,1,1,0,0,0.0,1,0.0,1,0,0,0,1,2,0,0,Defender,
Tyronne Ebuehi,NGA,Empoli,it Serie A,27 years,12.2,14.0,9,9,5,0,7.0,11,63.6,4,9,4,5,6,20,27,1,Defender,
Ederson,BRA,Manchester City,eng Premier League,29 years,30.9,0.0,0,0,0,0,0.0,1,0.0,1,0,0,0,0,0,10,1,Goalkeeper,
Éderson,BRA,Atalanta,it Serie A,24 years,31.9,83.0,49,38,38,7,44.0,63,69.8,19,48,8,40,41,124,33,1,Midfielder,
Odsonne Édouard,FRA,Crystal Palace,eng Premier League,25 years,17.3,24.0,12,8,8,8,4.0,19,21.1,15,17,1,16,6,30,19,0,Forward,Midfielder
John Egan,IRL,Sheffield Utd,eng Premier League,30 years,5.4,6.0,4,4,2,0,4.0,11,36.4,7,10,4,6,13,19,39,1,Defender,
Maximilian Eggestein,GER,Freiburg,de Bundesliga,26 years,32.4,49.0,24,25,19,5,15.0,36,41.7,21,53,19,34,28,77,40,1,Midfielder,
Lilian Egloff,GER,Stuttgart,de Bundesliga,20 years,1.2,4.0,1,3,1,0,2.0,4,50.0,2,3,1,2,1,5,0,0,Midfielder,Defender
Kingsley Ehizibue,NED,Udinese,it Serie A,28 years,10.6,22.0,14,16,4,2,11.0,18,61.1,7,21,3,18,8,30,36,0,Defender,
Hjalmar Ekdal,SWE,Burnley,eng Premier League,24 years,4.9,4.0,2,2,2,0,2.0,4,50.0,2,10,5,5,6,10,21,0,Defender,
Hugo Ekitike,FRA,Paris S-G,fr Ligue 1,21 years,0.1,0.0,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,Forward,
Hugo Ekitike,FRA,Eintracht Frankfurt,de Bundesliga,21 years,8.0,11.0,7,3,6,2,4.0,6,66.7,2,10,0,10,2,13,4,0,Forward,
Emmanuel Ekong,SWE,Empoli,it Serie A,21 years,0.1,0.0,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,Forward,
Caleb Ekuban,GHA,Genoa,it Serie A,29 years,12.6,8.0,4,2,4,2,5.0,9,55.6,4,11,3,8,1,9,7,0,Forward,
Anthony Elanga,SWE,Nottingham Forest,eng Premier League,21 years,27.0,33.0,19,20,6,7,17.0,37,45.9,20,22,2,20,8,41,20,1,Forward,Midfielder
Simon Elisor,FRA,Metz,fr Ligue 1,24 years,8.5,9.0,2,3,2,4,2.0,6,33.3,4,6,1,5,0,9,9,0,Forward,
Harvey Elliott,ENG,Liverpool,eng Premier League,20 years,15.0,27.0,17,8,14,5,10.0,31,32.3,21,27,0,27,6,33,7,0,Midfielder,Forward
Elif Elmas,MKD,Napoli,it Serie A,23 years,3.8,4.0,3,1,3,0,2.0,2,100.0,0,2,0,2,2,6,8,0,Forward,Midfielder
Elif Elmas,MKD,RB Leipzig,de Bundesliga,23 years,3.0,8.0,6,1,6,1,6.0,8,75.0,2,5,0,5,1,9,2,0,Midfielder,Forward
Mohamed Elneny,EGY,Arsenal,eng Premier League,31 years,0.3,0.0,0,0,0,0,0.0,1,0.0,1,0,0,0,1,1,0,0,Midfielder,
Aritz Elustondo,ESP,Real Sociedad,es La Liga,29 years,9.0,11.0,7,5,4,2,6.0,14,42.9,8,12,10,2,7,18,26,0,Defender,
Nico Elvedi,SUI,Gladbach,de Bundesliga,26 years,27.6,33.0,18,22,10,1,18.0,24,75.0,6,40,25,15,43,76,150,2,Defender,
