Player,Nation,Squad,Age,90s,SCA,SCA90,Types PassLive,Types PassDead,Types TO,Types Sh,Types Fld,Types Def,GCA,GCA90,Types PassLive,Types PassDead,Types TO,Types Sh,Types Fld,Types Def,Position 1,Position 2
Rúben Dias,POR,Manchester City,"26 years,  days",28.4,35,1.23,28.0,0.0,0.0,5.0,0.0,2.0,4,0.14,2.0,0.0,0.0,1.0,0.0,1.0,Defender,
Luis Díaz,COL,Liverpool,"26 years,  days",29.2,163,5.58,121.0,1.0,17.0,15.0,8.0,1.0,9,0.31,9.0,0.0,0.0,0.0,0.0,0.0,Forward,
Eric Dier,ENG,Tottenham,"29 years,  days",2.2,2,0.9,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender,
Lucas Digne,FRA,Aston Villa,"30 years,  days",26.8,74,2.76,48.0,19.0,0.0,3.0,3.0,1.0,4,0.15,4.0,0.0,0.0,0.0,0.0,0.0,Defender,
Issa Diop,FRA,Fulham,"26 years,  days",15.8,4,0.25,4.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender,
Axel Disasi,FRA,Chelsea,"25 years,  days",28.7,13,0.45,13.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender,
Ben Doak,SCO,Liverpool,"17 years,  days",0.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Forward,
Lewis Dobbin,ENG,Everton,"20 years,  days",2.6,6,2.33,3.0,0.0,0.0,2.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Midfielder,
Matt Doherty,IRL,Wolves,"31 years,  days",12.8,19,1.48,18.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender,Midfielder
Jeremy Doku,BEL,Manchester City,"21 years,  days",17.7,111,6.26,82.0,1.0,17.0,6.0,5.0,0.0,15,0.85,10.0,0.0,2.0,1.0,2.0,0.0,Forward,Midfielder
Nicolás Domínguez,ARG,Nottingham Forest,"25 years,  days",16.6,35,2.11,33.0,0.0,0.0,2.0,0.0,0.0,2,0.12,2.0,0.0,0.0,0.0,0.0,0.0,Midfielder,Forward
Jamie Donley,ENG,Tottenham,"18 years,  days",0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Forward,
Abdoulaye Doucouré,MLI,Everton,"30 years,  days",29.2,67,2.29,59.0,0.0,0.0,6.0,1.0,1.0,5,0.17,3.0,0.0,0.0,2.0,0.0,0.0,Forward,Midfielder
Cheick Doucouré,MLI,Crystal Palace,"23 years,  days",10.2,23,2.25,19.0,0.0,1.0,2.0,0.0,1.0,3,0.29,3.0,0.0,0.0,0.0,0.0,0.0,Midfielder,
Alfie Doughty,ENG,Luton Town,"23 years,  days",32.5,115,3.54,57.0,47.0,4.0,6.0,1.0,0.0,16,0.49,8.0,5.0,1.0,2.0,0.0,0.0,Defender,
Tommy Doyle,ENG,Wolves,"21 years,  days",13.6,26,1.91,20.0,6.0,0.0,0.0,0.0,0.0,5,0.37,4.0,1.0,0.0,0.0,0.0,0.0,Midfielder,
Radu Drăgușin,ROU,Tottenham,"21 years,  days",4.8,1,0.21,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender,
Martin Dúbravka,SVK,Newcastle Utd,"34 years,  days",22.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Goalkeeper,
Paul Dummett,WAL,Newcastle Utd,"31 years,  days",0.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender,
Lewis Dunk,ENG,Brighton,"31 years,  days",31.9,48,1.51,39.0,3.0,0.0,6.0,0.0,0.0,7,0.22,6.0,0.0,0.0,1.0,0.0,0.0,Defender,
Jáder Durán,COL,Aston Villa,"19 years,  days",5.3,12,2.27,8.0,0.0,1.0,1.0,1.0,1.0,4,0.76,1.0,0.0,1.0,0.0,1.0,1.0,Forward,Midfielder
George Earthy,ENG,West Ham,"18 years,  days",0.4,2,5.29,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Forward,
Ederson,BRA,Manchester City,"29 years,  days",30.9,7,0.23,5.0,2.0,0.0,0.0,0.0,0.0,2,0.06,2.0,0.0,0.0,0.0,0.0,0.0,Goalkeeper,
Odsonne Édouard,FRA,Crystal Palace,"25 years,  days",17.3,45,2.6,29.0,0.0,7.0,7.0,1.0,1.0,2,0.12,2.0,0.0,0.0,0.0,0.0,0.0,Forward,Midfielder
John Egan,IRL,Sheffield Utd,"30 years,  days",5.4,1,0.19,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender,
Hjalmar Ekdal,SWE,Burnley,"24 years,  days",4.9,2,0.41,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender,
Anthony Elanga,SWE,Nottingham Forest,"21 years,  days",27.0,70,2.59,53.0,0.0,6.0,6.0,4.0,1.0,13,0.48,12.0,0.0,0.0,0.0,0.0,1.0,Forward,Midfielder
Harvey Elliott,ENG,Liverpool,"20 years,  days",15.0,78,5.19,61.0,9.0,2.0,3.0,1.0,2.0,10,0.67,6.0,1.0,1.0,0.0,1.0,1.0,Midfielder,Forward
Mohamed Elneny,EGY,Arsenal,"31 years,  days",0.3,1,3.21,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Midfielder,
Emerson,BRA,Tottenham,"24 years,  days",12.9,21,1.63,15.0,2.0,0.0,1.0,2.0,1.0,3,0.23,1.0,2.0,0.0,0.0,0.0,0.0,Defender,
Julio Enciso,PAR,Brighton,"19 years,  days",5.3,23,4.34,15.0,0.0,5.0,3.0,0.0,0.0,2,0.38,2.0,0.0,0.0,0.0,0.0,0.0,Midfielder,Forward
Wataru Endo,JPN,Liverpool,"30 years,  days",19.1,54,2.82,43.0,0.0,2.0,4.0,2.0,3.0,3,0.16,3.0,0.0,0.0,0.0,0.0,0.0,Midfielder,
Christian Eriksen,DEN,Manchester Utd,"31 years,  days",12.7,46,3.63,36.0,8.0,0.0,0.0,0.0,2.0,3,0.24,2.0,0.0,0.0,0.0,0.0,1.0,Midfielder,
Maxime Estève,FRA,Burnley,"21 years,  days",14.5,8,0.55,6.0,0.0,0.0,0.0,2.0,0.0,1,0.07,1.0,0.0,0.0,0.0,0.0,0.0,Defender,
Pervis Estupiñán,ECU,Brighton,"25 years,  days",13.8,42,3.04,37.0,3.0,1.0,1.0,0.0,0.0,2,0.14,2.0,0.0,0.0,0.0,0.0,0.0,Defender,
Jonny Evans,NIR,Manchester Utd,"35 years,  days",15.5,11,0.71,11.0,0.0,0.0,0.0,0.0,0.0,2,0.13,2.0,0.0,0.0,0.0,0.0,0.0,Defender,
Eberechi Eze,ENG,Crystal Palace,"25 years,  days",22.8,110,4.82,54.0,27.0,11.0,7.0,10.0,1.0,11,0.48,8.0,0.0,1.0,0.0,2.0,0.0,Midfielder,Forward
Łukasz Fabiański,POL,West Ham,"38 years,  days",8.0,1,0.12,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Goalkeeper,
Romain Faivre,FRA,Bournemouth,"25 years,  days",0.5,1,2.2,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Midfielder,Forward
Ansu Fati,ESP,Brighton,"20 years,  days",5.8,23,3.96,16.0,0.0,1.0,5.0,0.0,1.0,3,0.52,2.0,0.0,0.0,1.0,0.0,0.0,Midfielder,Forward
Felipe,BRA,Nottingham Forest,"34 years,  days",4.2,4,0.97,2.0,0.0,0.0,1.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender,
Evan Ferguson,IRL,Brighton,"18 years,  days",15.2,22,1.45,15.0,0.0,2.0,1.0,3.0,1.0,1,0.07,0.0,0.0,0.0,0.0,1.0,0.0,Forward,
Bruno Fernandes,POR,Manchester Utd,"28 years,  days",34.6,210,6.06,143.0,48.0,7.0,9.0,1.0,2.0,19,0.55,12.0,3.0,2.0,2.0,0.0,0.0,Midfielder,Forward
Enzo Fernández,ARG,Chelsea,"22 years,  days",24.5,82,3.34,69.0,5.0,0.0,3.0,5.0,0.0,7,0.29,5.0,1.0,0.0,0.0,1.0,0.0,Midfielder,
John Fleck,SCO,Sheffield Utd,"31 years,  days",1.0,4,3.91,4.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Midfielder,Defender
Mark Flekken,NED,Brentford,"30 years,  days",36.5,10,0.27,3.0,7.0,0.0,0.0,0.0,0.0,3,0.08,1.0,2.0,0.0,0.0,0.0,0.0,Goalkeeper,
Phil Foden,ENG,Manchester City,"23 years,  days",31.7,144,4.54,111.0,9.0,9.0,6.0,8.0,1.0,21,0.66,16.0,1.0,1.0,0.0,3.0,0.0,Forward,Midfielder
Wes Foderingham,ENG,Sheffield Utd,"32 years,  days",29.4,4,0.14,4.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Goalkeeper,
Pablo Fornals,ESP,West Ham,"27 years,  days",4.7,16,3.37,13.0,0.0,0.0,0.0,1.0,2.0,1,0.21,0.0,0.0,0.0,0.0,0.0,1.0,Midfielder,Forward
Omari Forson,ENG,Manchester Utd,"19 years,  days",0.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Forward,
Lyle Foster,RSA,Burnley,"22 years,  days",21.1,41,1.95,35.0,0.0,2.0,3.0,1.0,0.0,4,0.19,4.0,0.0,0.0,0.0,0.0,0.0,Forward,Midfielder
Matheus França,BRA,Crystal Palace,"19 years,  days",2.6,8,3.1,4.0,3.0,0.0,0.0,1.0,0.0,2,0.78,1.0,0.0,0.0,0.0,1.0,0.0,Midfielder,Forward
Nathan Fraser,IRL,Wolves,"18 years,  days",2.1,6,2.92,5.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Forward,
Cody Gakpo,NED,Liverpool,"24 years,  days",18.3,73,3.98,47.0,1.0,6.0,12.0,5.0,2.0,10,0.55,6.0,0.0,1.0,2.0,1.0,0.0,Forward,Midfielder
Conor Gallagher,ENG,Chelsea,"23 years,  days",34.8,109,3.14,78.0,15.0,5.0,4.0,1.0,6.0,14,0.4,7.0,5.0,0.0,1.0,0.0,1.0,Midfielder,
Idrissa Gana Gueye,SEN,Everton,"33 years,  days",20.9,52,2.48,37.0,0.0,0.0,5.0,4.0,6.0,4,0.19,4.0,0.0,0.0,0.0,0.0,0.0,Midfielder,
Alejandro Garnacho,ARG,Manchester Utd,"19 years,  days",28.5,119,4.17,80.0,0.0,13.0,13.0,12.0,1.0,15,0.53,10.0,0.0,1.0,1.0,2.0,1.0,Forward,
James Garner,ENG,Everton,"22 years,  days",33.4,98,2.94,58.0,22.0,3.0,6.0,4.0,5.0,8,0.24,3.0,1.0,0.0,1.0,1.0,2.0,Midfielder,
Saman Ghoddos,IRN,Brentford,"29 years,  days",8.2,20,2.44,10.0,5.0,1.0,0.0,3.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender,
Morgan Gibbs-White,ENG,Nottingham Forest,"23 years,  days",35.1,149,4.25,86.0,38.0,9.0,7.0,8.0,1.0,18,0.51,14.0,3.0,0.0,1.0,0.0,0.0,Midfielder,Forward
Bryan Gil,ESP,Tottenham,"22 years,  days",2.3,9,3.88,8.0,0.0,0.0,1.0,0.0,0.0,1,0.43,1.0,0.0,0.0,0.0,0.0,0.0,Forward,Midfielder
Alfie Gilchrist,ENG,Chelsea,"19 years,  days",2.3,3,1.31,2.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender,
Ryan Giles,ENG,Luton Town,"23 years,  days",5.6,12,2.15,8.0,3.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender,Midfielder
Billy Gilmour,SCO,Brighton,"22 years,  days",23.6,69,2.93,59.0,5.0,0.0,2.0,3.0,0.0,6,0.25,5.0,0.0,0.0,1.0,0.0,0.0,Midfielder,
Ben Godfrey,ENG,Everton,"25 years,  days",12.4,17,1.37,9.0,1.0,0.0,5.0,0.0,2.0,3,0.24,1.0,0.0,0.0,1.0,0.0,1.0,Defender,
André Gomes,POR,Everton,"30 years,  days",5.6,18,3.18,13.0,0.0,1.0,2.0,1.0,1.0,1,0.18,1.0,0.0,0.0,0.0,0.0,0.0,Midfielder,Forward
João Gomes,BRA,Wolves,"22 years,  days",29.4,65,2.21,48.0,4.0,2.0,4.0,2.0,5.0,4,0.14,3.0,0.0,0.0,1.0,0.0,0.0,Midfielder,
Toti Gomes,POR,Wolves,"24 years,  days",30.8,21,0.68,16.0,1.0,1.0,3.0,0.0,0.0,4,0.13,3.0,0.0,0.0,1.0,0.0,0.0,Defender,
Joe Gomez,ENG,Liverpool,"26 years,  days",19.8,51,2.57,43.0,0.0,1.0,4.0,3.0,0.0,5,0.25,4.0,0.0,0.0,1.0,0.0,0.0,Defender,
Sergio Gómez,ESP,Manchester City,"22 years,  days",0.6,2,3.33,1.0,0.0,1.0,0.0,0.0,0.0,2,3.33,1.0,0.0,1.0,0.0,0.0,0.0,Forward,Midfielder
Enso Gonzalez,PAR,Wolves,"18 years,  days",0.0,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Midfielder,Defender
Anthony Gordon,ENG,Newcastle Utd,"22 years,  days",32.1,143,4.45,86.0,18.0,13.0,11.0,13.0,2.0,29,0.9,13.0,2.0,5.0,4.0,5.0,0.0,Forward,
Kaide Gordon,ENG,Liverpool,"18 years,  days",0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Forward,
Daniel Gore,ENG,Manchester Utd,"18 years,  days",0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Midfielder,
Ryan Gravenberch,NED,Liverpool,"21 years,  days",12.5,44,3.54,36.0,0.0,2.0,6.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Midfielder,
Ivo Grbić,CRO,Sheffield Utd,"27 years,  days",8.6,2,0.23,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Goalkeeper,
Jack Grealish,ENG,Manchester City,"27 years,  days",11.2,54,4.82,46.0,0.0,1.0,2.0,5.0,0.0,4,0.36,4.0,0.0,0.0,0.0,0.0,0.0,Forward,Midfielder
Pascal Groß,GER,Brighton,"32 years,  days",34.6,185,5.35,114.0,54.0,5.0,9.0,2.0,1.0,16,0.46,9.0,2.0,4.0,1.0,0.0,0.0,Midfielder,Defender
Marc Guéhi,ENG,Crystal Palace,"23 years,  days",22.5,22,0.98,17.0,0.0,0.0,2.0,2.0,1.0,2,0.09,2.0,0.0,0.0,0.0,0.0,0.0,Defender,
Bruno Guimarães,BRA,Newcastle Utd,"25 years,  days",36.3,143,3.94,110.0,8.0,10.0,3.0,6.0,6.0,19,0.52,12.0,0.0,4.0,2.0,1.0,0.0,Midfielder,
Malo Gusto,FRA,Chelsea,"20 years,  days",19.5,52,2.67,47.0,2.0,1.0,0.0,0.0,2.0,7,0.36,7.0,0.0,0.0,0.0,0.0,0.0,Defender,
Joško Gvardiol,CRO,Manchester City,"21 years,  days",25.9,54,2.09,40.0,1.0,5.0,2.0,4.0,2.0,7,0.27,6.0,0.0,0.0,0.0,1.0,0.0,Defender,
Erling Haaland,NOR,Manchester City,"23 years,  days",28.4,59,2.08,39.0,0.0,3.0,10.0,6.0,1.0,11,0.39,5.0,0.0,1.0,3.0,2.0,0.0,Forward,
Antwoine Hackford,ENG,Sheffield Utd,"19 years,  days",0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Forward,
Lewis Hall,ENG,Newcastle Utd,"18 years,  days",8.7,20,2.3,14.0,1.0,3.0,1.0,1.0,0.0,3,0.35,3.0,0.0,0.0,0.0,0.0,0.0,Defender,
Gustavo Hamer,NED,Sheffield Utd,"26 years,  days",32.3,116,3.59,73.0,22.0,10.0,7.0,4.0,0.0,12,0.37,9.0,1.0,2.0,0.0,0.0,0.0,Midfielder,
Luke Harris,WAL,Fulham,"18 years,  days",0.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Midfielder,
Jack Harrison,ENG,Everton,"26 years,  days",24.6,66,2.68,46.0,2.0,3.0,7.0,6.0,2.0,7,0.28,5.0,0.0,0.0,1.0,1.0,0.0,Midfielder,Forward
Daiki Hashioka,JPN,Luton Town,"24 years,  days",6.6,8,1.21,8.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender,
Kai Havertz,GER,Arsenal,"24 years,  days",29.3,106,3.62,87.0,0.0,3.0,8.0,6.0,2.0,22,0.75,16.0,0.0,2.0,2.0,2.0,0.0,Midfielder,Forward
Jan Paul van Hecke,NED,Brighton,"23 years,  days",26.3,37,1.41,35.0,0.0,0.0,1.0,0.0,1.0,3,0.11,3.0,0.0,0.0,0.0,0.0,0.0,Defender,
Hwang Hee-chan,KOR,Wolves,"27 years,  days",23.5,48,2.04,29.0,0.0,8.0,6.0,4.0,1.0,9,0.38,4.0,0.0,3.0,1.0,1.0,0.0,Forward,Midfielder
Dean Henderson,ENG,Crystal Palace,"26 years,  days",18.0,1,0.06,1.0,0.0,0.0,0.0,0.0,0.0,1,0.06,1.0,0.0,0.0,0.0,0.0,0.0,Goalkeeper,
Rico Henry,ENG,Brentford,"26 years,  days",4.5,13,2.92,10.0,0.0,3.0,0.0,0.0,0.0,3,0.67,2.0,0.0,1.0,0.0,0.0,0.0,Defender,
Son Heung-min,KOR,Tottenham,"31 years,  days",32.6,129,3.96,108.0,0.0,11.0,6.0,3.0,1.0,17,0.52,13.0,0.0,3.0,0.0,1.0,0.0,Forward,
Aaron Hickey,SCO,Brentford,"21 years,  days",7.9,7,0.88,6.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender,
James Hill,ENG,Bournemouth,"21 years,  days",0.8,1,1.18,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender,
Jack Hinshelwood,ENG,Brighton,"18 years,  days",9.7,14,1.45,11.0,0.0,0.0,3.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender,
Mason Holgate,ENG,Sheffield Utd,"26 years,  days",7.9,4,0.51,2.0,1.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender,
Callum Hudson-Odoi,ENG,Nottingham Forest,"22 years,  days",20.6,82,3.98,63.0,4.0,8.0,4.0,2.0,1.0,6,0.29,4.0,0.0,1.0,0.0,1.0,0.0,Forward,Midfielder
Will Hughes,ENG,Crystal Palace,"28 years,  days",21.0,48,2.29,34.0,9.0,1.0,0.0,2.0,2.0,5,0.24,5.0,0.0,0.0,0.0,0.0,0.0,Midfielder,
Pierre Højbjerg,DEN,Tottenham,"27 years,  days",14.6,39,2.68,36.0,0.0,2.0,1.0,0.0,0.0,2,0.14,2.0,0.0,0.0,0.0,0.0,0.0,Midfielder,
Rasmus Højlund,DEN,Manchester Utd,"20 years,  days",24.0,58,2.42,43.0,0.0,5.0,4.0,3.0,3.0,4,0.17,2.0,0.0,2.0,0.0,0.0,0.0,Forward,
Igor,BRA,Brighton,"25 years,  days",18.2,25,1.38,21.0,2.0,1.0,0.0,0.0,1.0,2,0.11,2.0,0.0,0.0,0.0,0.0,0.0,Defender,
Danny Ings,ENG,West Ham,"31 years,  days",4.5,17,3.79,8.0,0.0,3.0,4.0,1.0,1.0,3,0.67,0.0,0.0,1.0,1.0,1.0,0.0,Forward,
Tim Iroegbunam,ENG,Aston Villa,"20 years,  days",1.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Midfielder,
Alexander Isak,SWE,Newcastle Utd,"23 years,  days",25.1,72,2.87,45.0,0.0,12.0,11.0,4.0,0.0,10,0.4,4.0,0.0,3.0,2.0,1.0,0.0,Forward,
Alex Iwobi,NGA,Everton,"27 years,  days",1.6,12,7.77,6.0,1.0,2.0,3.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Midfielder,
Alex Iwobi,NGA,Fulham,"27 years,  days",24.4,103,4.23,87.0,0.0,6.0,9.0,0.0,1.0,10,0.41,8.0,0.0,0.0,2.0,0.0,0.0,Forward,Midfielder
Nicolas Jackson,SEN,Chelsea,"22 years,  days",31.1,95,3.05,60.0,1.0,18.0,8.0,6.0,2.0,11,0.35,7.0,0.0,2.0,2.0,0.0,0.0,Forward,
Reece James,ENG,Chelsea,"23 years,  days",4.7,15,3.22,13.0,1.0,0.0,1.0,0.0,0.0,3,0.64,2.0,0.0,0.0,1.0,0.0,0.0,Defender,
Vitaly Janelt,GER,Brentford,"25 years,  days",33.9,80,2.36,69.0,2.0,1.0,3.0,3.0,2.0,4,0.12,3.0,0.0,0.0,0.0,1.0,0.0,Midfielder,Defender
Daniel Jebbison,ENG,Sheffield Utd,"19 years,  days",0.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Forward,
Mathias Jensen,DEN,Brentford,"27 years,  days",24.5,87,3.55,48.0,35.0,0.0,0.0,3.0,1.0,8,0.33,5.0,2.0,0.0,0.0,1.0,0.0,Midfielder,
Gabriel Jesus,BRA,Arsenal,"26 years,  days",16.4,59,3.59,37.0,1.0,9.0,5.0,3.0,4.0,8,0.49,4.0,1.0,1.0,1.0,1.0,0.0,Forward,
Raúl Jiménez,MEX,Fulham,"32 years,  days",15.5,27,1.74,15.0,0.0,4.0,6.0,1.0,1.0,3,0.19,0.0,0.0,1.0,2.0,0.0,0.0,Forward,
João Pedro,BRA,Brighton,"21 years,  days",22.7,91,4.01,64.0,0.0,7.0,10.0,9.0,1.0,11,0.48,5.0,0.0,2.0,2.0,2.0,0.0,Forward,Midfielder
Joelinton,BRA,Newcastle Utd,"26 years,  days",14.2,47,3.3,37.0,0.0,6.0,4.0,0.0,0.0,3,0.21,2.0,0.0,0.0,1.0,0.0,0.0,Midfielder,Forward
Ben Johnson,ENG,West Ham,"23 years,  days",6.0,9,1.49,7.0,0.0,0.0,0.0,2.0,0.0,1,0.17,1.0,0.0,0.0,0.0,0.0,0.0,Defender,Forward
Brennan Johnson,WAL,Tottenham,"22 years,  days",23.2,70,3.02,55.0,0.0,4.0,6.0,3.0,2.0,13,0.56,11.0,0.0,0.0,1.0,0.0,1.0,Forward,
Brennan Johnson,WAL,Nottingham Forest,"22 years,  days",2.6,7,2.66,3.0,0.0,2.0,1.0,1.0,0.0,3,1.14,1.0,0.0,1.0,0.0,1.0,0.0,Forward,Midfielder
Joseph Johnson,ENG,Luton Town,"17 years,  days",0.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender,
Sam Johnstone,ENG,Crystal Palace,"30 years,  days",20.0,2,0.1,1.0,1.0,0.0,0.0,0.0,0.0,1,0.05,0.0,1.0,0.0,0.0,0.0,0.0,Goalkeeper,
Curtis Jones,ENG,Liverpool,"22 years,  days",13.0,36,2.78,28.0,0.0,3.0,3.0,1.0,1.0,3,0.23,3.0,0.0,0.0,0.0,0.0,0.0,Midfielder,
Jorginho,ITA,Arsenal,"31 years,  days",10.2,27,2.64,25.0,0.0,0.0,1.0,0.0,1.0,5,0.49,5.0,0.0,0.0,0.0,0.0,0.0,Midfielder,
Diogo Jota,POR,Liverpool,"26 years,  days",12.7,48,3.77,36.0,0.0,5.0,3.0,4.0,0.0,14,1.1,7.0,0.0,4.0,1.0,2.0,0.0,Forward,
Mads Juel Andersen,DEN,Luton Town,"25 years,  days",4.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender,
Hamed Junior Traorè,CIV,Bournemouth,"23 years,  days",0.5,4,7.66,1.0,0.0,2.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Midfielder,
Mathias Jørgensen,DEN,Brentford,"33 years,  days",12.1,12,0.99,11.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender,
Issa Kaboré,BFA,Luton Town,"22 years,  days",19.2,32,1.67,25.0,0.0,2.0,2.0,1.0,2.0,4,0.21,3.0,0.0,0.0,1.0,0.0,0.0,Defender,
Sasa Kalajdzic,AUT,Wolves,"26 years,  days",1.8,5,2.71,5.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Forward,
Boubacar Kamara,FRA,Aston Villa,"23 years,  days",18.4,38,2.07,33.0,0.0,0.0,2.0,1.0,2.0,3,0.16,3.0,0.0,0.0,0.0,0.0,0.0,Midfielder,
Willy Kambwala,FRA,Manchester Utd,"18 years,  days",3.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender,
Thomas Kaminski,BEL,Luton Town,"30 years,  days",37.8,3,0.08,2.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Goalkeeper,
Loris Karius,GER,Newcastle Utd,"30 years,  days",1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Goalkeeper,
Michael Keane,ENG,Everton,"30 years,  days",4.9,4,0.82,3.0,0.0,0.0,1.0,0.0,0.0,1,0.21,0.0,0.0,0.0,1.0,0.0,0.0,Defender,
Thilo Kehrer,GER,West Ham,"26 years,  days",0.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender,Midfielder
Caoimhín Kelleher,IRL,Liverpool,"24 years,  days",10.0,2,0.2,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Goalkeeper,
Lloyd Kelly,ENG,Bournemouth,"24 years,  days",17.3,29,1.67,24.0,2.0,1.0,0.0,1.0,1.0,3,0.17,3.0,0.0,0.0,0.0,0.0,0.0,Defender,
Omari Kellyman,ENG,Aston Villa,"17 years,  days",0.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Forward,
Milos Kerkez,HUN,Bournemouth,"19 years,  days",21.9,32,1.46,25.0,0.0,0.0,4.0,2.0,1.0,4,0.18,2.0,0.0,0.0,0.0,1.0,1.0,Defender,
