Player,Nation,Squad,Comp,Age,90s,SCA,SCA90,Types PassLive,Types PassDead,Types TO,Types Sh,Types Fld,Types Def,GCA,GCA90,Types PassLive,Types PassDead,Types TO,Types Sh,Types Fld,Types Def,Position 1,Position 2
Siriné Doucouré,MLI,Lorient,fr Ligue 1,21 years,4.7,13,2.78,11.0,0.0,1.0,1.0,0.0,0.0,4,0.86,4.0,0.0,0.0,0.0,0.0,0.0,Forward,
Désiré Doué,FRA,Rennes,fr Ligue 1,18 years,18.1,88,4.87,56.0,4.0,14.0,4.0,7.0,3.0,12,0.66,6.0,0.0,3.0,1.0,1.0,1.0,Midfielder,Forward
Guela Doué,CIV,Rennes,fr Ligue 1,20 years,13.7,39,2.84,28.0,2.0,2.0,3.0,3.0,1.0,8,0.58,6.0,0.0,0.0,0.0,2.0,0.0,Defender,
Alfie Doughty,ENG,Luton Town,eng Premier League,23 years,32.5,115,3.54,57.0,47.0,4.0,6.0,1.0,0.0,16,0.49,8.0,5.0,1.0,2.0,0.0,0.0,Defender,
Douglas,BRA,Nantes,fr Ligue 1,26 years,19.7,37,1.88,26.0,5.0,0.0,1.0,3.0,2.0,2,0.1,2.0,0.0,0.0,0.0,0.0,0.0,Midfielder,
Ismaël Doukouré,FRA,Strasbourg,fr Ligue 1,20 years,18.4,24,1.3,19.0,1.0,0.0,0.0,1.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Midfielder,Defender
Kamory Doumbia,MLI,Brest,fr Ligue 1,20 years,9.8,27,2.76,22.0,0.0,2.0,3.0,0.0,0.0,7,0.72,7.0,0.0,0.0,0.0,0.0,0.0,Midfielder,
Anastasios Douvikas,GRE,Celta Vigo,es La Liga,23 years,10.1,20,1.99,11.0,0.0,3.0,4.0,2.0,0.0,2,0.2,2.0,0.0,0.0,0.0,0.0,0.0,Forward,
Artem Dovbyk,UKR,Girona,es La Liga,26 years,28.7,57,1.98,41.0,0.0,6.0,8.0,2.0,0.0,13,0.45,9.0,0.0,1.0,3.0,0.0,0.0,Forward,
Nikola Dovedan,AUT,Heidenheim,de Bundesliga,29 years,7.3,23,3.17,16.0,0.0,1.0,3.0,3.0,0.0,3,0.41,2.0,0.0,0.0,0.0,1.0,0.0,Midfielder,Forward
Damion Downs,USA,Köln,de Bundesliga,19 years,2.0,4,1.99,3.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Forward,Midfielder
Tommy Doyle,ENG,Wolves,eng Premier League,21 years,13.6,26,1.91,20.0,6.0,0.0,0.0,0.0,0.0,5,0.37,4.0,1.0,0.0,0.0,0.0,0.0,Midfielder,
Radu Drăgușin,ROU,Tottenham,eng Premier League,21 years,4.8,1,0.21,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender,
Radu Drăgușin,ROU,Genoa,it Serie A,21 years,19.0,12,0.63,7.0,2.0,0.0,3.0,0.0,0.0,1,0.05,1.0,0.0,0.0,0.0,0.0,0.0,Defender,
Dion Drena Beljo,CRO,Augsburg,de Bundesliga,21 years,6.5,21,3.24,12.0,0.0,3.0,2.0,4.0,0.0,3,0.46,1.0,0.0,0.0,1.0,1.0,0.0,Forward,Midfielder
Tim Drexler,GER,Hoffenheim,de Bundesliga,18 years,6.4,5,0.79,5.0,0.0,0.0,0.0,0.0,0.0,3,0.47,3.0,0.0,0.0,0.0,0.0,0.0,Defender,
Domingos Duarte,POR,Getafe,es La Liga,28 years,10.1,4,0.4,4.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender,
Rubén Duarte,ESP,Alavés,es La Liga,27 years,20.9,32,1.54,21.0,8.0,1.0,1.0,1.0,0.0,2,0.1,1.0,1.0,0.0,0.0,0.0,0.0,Defender,
Martin Dúbravka,SVK,Newcastle Utd,eng Premier League,34 years,22.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Goalkeeper,
Marvin Ducksch,GER,Werder Bremen,de Bundesliga,29 years,30.0,109,3.64,51.0,40.0,5.0,9.0,3.0,1.0,14,0.47,7.0,5.0,0.0,1.0,1.0,0.0,Forward,
Ondrej Duda,SVK,Hellas Verona,it Serie A,28 years,27.3,93,3.41,53.0,27.0,2.0,3.0,5.0,3.0,9,0.33,5.0,2.0,0.0,0.0,1.0,1.0,Midfielder,
Denzel Dumfries,NED,Inter,it Serie A,27 years,18.2,47,2.59,37.0,3.0,3.0,1.0,3.0,0.0,8,0.44,5.0,0.0,1.0,0.0,2.0,0.0,Defender,
Paul Dummett,WAL,Newcastle Utd,eng Premier League,31 years,0.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender,
Alfred Duncan,GHA,Fiorentina,it Serie A,30 years,21.0,60,2.86,44.0,11.0,2.0,2.0,0.0,1.0,10,0.48,6.0,2.0,0.0,2.0,0.0,0.0,Midfielder,
Lewis Dunk,ENG,Brighton,eng Premier League,31 years,31.9,48,1.51,39.0,3.0,0.0,6.0,0.0,0.0,7,0.22,6.0,0.0,0.0,1.0,0.0,0.0,Defender,
Jáder Durán,COL,Aston Villa,eng Premier League,19 years,5.3,12,2.27,8.0,0.0,1.0,1.0,1.0,1.0,4,0.76,1.0,0.0,1.0,0.0,1.0,1.0,Forward,Midfielder
Julien Duranville,BEL,Dortmund,de Bundesliga,17 years,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Forward,Midfielder
Hugo Duro,ESP,Valencia,es La Liga,23 years,33.1,49,1.48,25.0,0.0,4.0,5.0,14.0,1.0,9,0.27,4.0,0.0,1.0,1.0,3.0,0.0,Forward,
Jean-Kevin Duverne,HAI,Nantes,fr Ligue 1,26 years,15.0,12,0.8,10.0,0.0,0.0,1.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender,
Paulo Dybala,ARG,Roma,it Serie A,29 years,21.8,95,4.36,56.0,25.0,3.0,4.0,6.0,1.0,19,0.87,12.0,4.0,2.0,0.0,1.0,0.0,Forward,Midfielder
Aron Dønnum,NOR,Toulouse,fr Ligue 1,25 years,17.7,53,2.99,30.0,4.0,3.0,7.0,7.0,2.0,4,0.23,3.0,0.0,0.0,0.0,1.0,0.0,Forward,Midfielder
George Earthy,ENG,West Ham,eng Premier League,18 years,0.4,2,5.29,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Forward,
Simon Ebonog,CMR,Le Havre,fr Ligue 1,18 years,0.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Midfielder,
Festy Ebosele,IRL,Udinese,it Serie A,20 years,18.9,55,2.91,30.0,1.0,10.0,2.0,12.0,0.0,4,0.21,0.0,0.0,1.0,0.0,3.0,0.0,Defender,
Enzo Ebosse,CMR,Udinese,it Serie A,24 years,0.1,1,11.25,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender,
Tyronne Ebuehi,NGA,Empoli,it Serie A,27 years,12.2,17,1.39,14.0,2.0,0.0,0.0,1.0,0.0,1,0.08,1.0,0.0,0.0,0.0,0.0,0.0,Defender,
Ederson,BRA,Manchester City,eng Premier League,29 years,30.9,7,0.23,5.0,2.0,0.0,0.0,0.0,0.0,2,0.06,2.0,0.0,0.0,0.0,0.0,0.0,Goalkeeper,
Éderson,BRA,Atalanta,it Serie A,24 years,31.9,71,2.23,61.0,3.0,5.0,0.0,1.0,1.0,6,0.19,6.0,0.0,0.0,0.0,0.0,0.0,Midfielder,
Odsonne Édouard,FRA,Crystal Palace,eng Premier League,25 years,17.3,45,2.6,29.0,0.0,7.0,7.0,1.0,1.0,2,0.12,2.0,0.0,0.0,0.0,0.0,0.0,Forward,Midfielder
John Egan,IRL,Sheffield Utd,eng Premier League,30 years,5.4,1,0.19,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender,
Maximilian Eggestein,GER,Freiburg,de Bundesliga,26 years,32.4,74,2.29,62.0,0.0,3.0,7.0,1.0,1.0,3,0.09,2.0,0.0,0.0,1.0,0.0,0.0,Midfielder,
Lilian Egloff,GER,Stuttgart,de Bundesliga,20 years,1.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Midfielder,Defender
Kingsley Ehizibue,NED,Udinese,it Serie A,28 years,10.6,23,2.17,14.0,0.0,2.0,3.0,4.0,0.0,2,0.19,2.0,0.0,0.0,0.0,0.0,0.0,Defender,
Hjalmar Ekdal,SWE,Burnley,eng Premier League,24 years,4.9,2,0.41,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender,
Hugo Ekitike,FRA,Paris S-G,fr Ligue 1,21 years,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Forward,
Hugo Ekitike,FRA,Eintracht Frankfurt,de Bundesliga,21 years,8.0,28,3.52,13.0,0.0,6.0,3.0,5.0,1.0,4,0.5,2.0,0.0,1.0,0.0,1.0,0.0,Forward,
Emmanuel Ekong,SWE,Empoli,it Serie A,21 years,0.1,1,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Forward,
Caleb Ekuban,GHA,Genoa,it Serie A,29 years,12.6,35,2.79,17.0,0.0,5.0,4.0,9.0,0.0,3,0.24,1.0,0.0,1.0,0.0,1.0,0.0,Forward,
Anthony Elanga,SWE,Nottingham Forest,eng Premier League,21 years,27.0,70,2.59,53.0,0.0,6.0,6.0,4.0,1.0,13,0.48,12.0,0.0,0.0,0.0,0.0,1.0,Forward,Midfielder
Simon Elisor,FRA,Metz,fr Ligue 1,24 years,8.5,19,2.24,13.0,0.0,1.0,1.0,4.0,0.0,1,0.12,1.0,0.0,0.0,0.0,0.0,0.0,Forward,
Harvey Elliott,ENG,Liverpool,eng Premier League,20 years,15.0,78,5.19,61.0,9.0,2.0,3.0,1.0,2.0,10,0.67,6.0,1.0,1.0,0.0,1.0,1.0,Midfielder,Forward
Elif Elmas,MKD,Napoli,it Serie A,23 years,3.8,9,2.4,7.0,0.0,1.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Forward,Midfielder
Elif Elmas,MKD,RB Leipzig,de Bundesliga,23 years,3.0,7,2.36,5.0,0.0,2.0,0.0,0.0,0.0,1,0.34,1.0,0.0,0.0,0.0,0.0,0.0,Midfielder,Forward
Mohamed Elneny,EGY,Arsenal,eng Premier League,31 years,0.3,1,3.21,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Midfielder,
Aritz Elustondo,ESP,Real Sociedad,es La Liga,29 years,9.0,13,1.44,7.0,2.0,0.0,3.0,0.0,1.0,2,0.22,0.0,0.0,0.0,2.0,0.0,0.0,Defender,
Nico Elvedi,SUI,Gladbach,de Bundesliga,26 years,27.6,22,0.8,20.0,0.0,0.0,2.0,0.0,0.0,3,0.11,3.0,0.0,0.0,0.0,0.0,0.0,Defender,
Adri Embarba,ESP,Almería,es La Liga,31 years,27.5,108,3.93,59.0,25.0,8.0,6.0,6.0,4.0,8,0.29,4.0,1.0,0.0,3.0,0.0,0.0,Forward,Midfielder
Breel Embolo,SUI,Monaco,fr Ligue 1,26 years,2.0,10,4.95,8.0,0.0,2.0,0.0,0.0,0.0,1,0.49,1.0,0.0,0.0,0.0,0.0,0.0,Forward,
Emanuel Emegha,NED,Strasbourg,fr Ligue 1,20 years,23.1,28,1.21,16.0,0.0,5.0,3.0,4.0,0.0,5,0.22,1.0,0.0,1.0,2.0,1.0,0.0,Forward,
Emerson,BRA,Tottenham,eng Premier League,24 years,12.9,21,1.63,15.0,2.0,0.0,1.0,2.0,1.0,3,0.23,1.0,2.0,0.0,0.0,0.0,0.0,Defender,
Youssef En-Nesyri,MAR,Sevilla,es La Liga,26 years,28.6,22,0.77,13.0,0.0,1.0,4.0,2.0,2.0,8,0.28,4.0,0.0,0.0,1.0,1.0,2.0,Forward,
Julio Enciso,PAR,Brighton,eng Premier League,19 years,5.3,23,4.34,15.0,0.0,5.0,3.0,0.0,0.0,2,0.38,2.0,0.0,0.0,0.0,0.0,0.0,Midfielder,Forward
Wataru Endo,JPN,Liverpool,eng Premier League,30 years,19.1,54,2.82,43.0,0.0,2.0,4.0,2.0,3.0,3,0.16,3.0,0.0,0.0,0.0,0.0,0.0,Midfielder,
Arne Engels,BEL,Augsburg,de Bundesliga,19 years,15.6,40,2.56,28.0,8.0,0.0,2.0,2.0,0.0,8,0.51,5.0,1.0,0.0,0.0,2.0,0.0,Midfielder,Defender
Christian Eriksen,DEN,Manchester Utd,eng Premier League,31 years,12.7,46,3.63,36.0,8.0,0.0,0.0,0.0,2.0,3,0.24,2.0,0.0,0.0,0.0,0.0,1.0,Midfielder,
Martin Erlic,CRO,Sassuolo,it Serie A,25 years,29.1,12,0.41,8.0,1.0,0.0,1.0,2.0,0.0,1,0.03,0.0,1.0,0.0,0.0,0.0,0.0,Defender,
Gonzalo Escalante,ARG,Cádiz,es La Liga,30 years,18.9,21,1.11,18.0,0.0,0.0,1.0,0.0,2.0,2,0.11,2.0,0.0,0.0,0.0,0.0,0.0,Midfielder,
Aarón Escandell,ESP,Las Palmas,es La Liga,27 years,1.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Goalkeeper,
Alfonso Espino,URU,Rayo Vallecano,es La Liga,31 years,27.9,54,1.94,44.0,3.0,3.0,3.0,0.0,1.0,1,0.04,1.0,0.0,0.0,0.0,0.0,0.0,Defender,
Bernardo Espinosa,COL,Girona,es La Liga,34 years,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender,
Maxime Estève,FRA,Burnley,eng Premier League,21 years,14.5,8,0.55,6.0,0.0,0.0,0.0,2.0,0.0,1,0.07,1.0,0.0,0.0,0.0,0.0,0.0,Defender,
Maxime Estève,FRA,Montpellier,fr Ligue 1,21 years,11.1,11,0.93,9.0,1.0,0.0,1.0,0.0,0.0,1,0.08,1.0,0.0,0.0,0.0,0.0,0.0,Defender,
Oscar Estupiñan,COL,Metz,fr Ligue 1,26 years,2.9,2,0.69,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Forward,
Pervis Estupiñán,ECU,Brighton,eng Premier League,25 years,13.8,42,3.04,37.0,3.0,1.0,1.0,0.0,0.0,2,0.14,2.0,0.0,0.0,0.0,0.0,0.0,Defender,
Karl Etta,CMR,Cádiz,es La Liga,19 years,0.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Forward,
Jonny Evans,NIR,Manchester Utd,eng Premier League,35 years,15.5,11,0.71,11.0,0.0,0.0,0.0,0.0,0.0,2,0.13,2.0,0.0,0.0,0.0,0.0,0.0,Defender,
Eberechi Eze,ENG,Crystal Palace,eng Premier League,25 years,22.8,110,4.82,54.0,27.0,11.0,7.0,10.0,1.0,11,0.48,8.0,0.0,1.0,0.0,2.0,0.0,Midfielder,Forward
Abde Ezzalzouli,MAR,Barcelona,es La Liga,21 years,0.8,2,2.65,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Forward,Midfielder
Abde Ezzalzouli,MAR,Betis,es La Liga,21 years,9.6,20,2.08,12.0,1.0,3.0,1.0,3.0,0.0,2,0.21,1.0,1.0,0.0,0.0,0.0,0.0,Forward,
Giovanni Fabbian,ITA,Bologna,it Serie A,20 years,11.7,23,1.96,18.0,0.0,1.0,3.0,0.0,1.0,2,0.17,1.0,0.0,1.0,0.0,0.0,0.0,Midfielder,Forward
Łukasz Fabiański,POL,West Ham,eng Premier League,38 years,8.0,1,0.12,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Goalkeeper,
Nicolò Fagioli,ITA,Juventus,it Serie A,22 years,4.9,16,3.29,9.0,6.0,0.0,1.0,0.0,0.0,2,0.41,1.0,1.0,0.0,0.0,0.0,0.0,Midfielder,
Romain Faivre,FRA,Bournemouth,eng Premier League,25 years,0.5,1,2.2,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Midfielder,Forward
Romain Faivre,FRA,Lorient,fr Ligue 1,25 years,16.1,43,2.66,28.0,7.0,3.0,3.0,2.0,0.0,6,0.37,4.0,0.0,0.0,2.0,0.0,0.0,Midfielder,Forward
Ilhan Fakili,FRA,Clermont Foot,fr Ligue 1,17 years,1.0,2,1.91,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Midfielder,Forward
Radamel Falcao,COL,Rayo Vallecano,es La Liga,37 years,4.5,13,2.87,8.0,0.0,0.0,1.0,3.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Forward,Defender
Wladimiro Falcone,ITA,Lecce,it Serie A,28 years,38.0,2,0.05,0.0,1.0,0.0,0.0,1.0,0.0,1,0.03,0.0,0.0,0.0,0.0,1.0,0.0,Goalkeeper,
Fali,ESP,Cádiz,es La Liga,29 years,28.3,17,0.6,15.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender,
Davide Faraoni,ITA,Hellas Verona,it Serie A,31 years,6.7,21,3.13,14.0,5.0,0.0,0.0,1.0,1.0,2,0.3,2.0,0.0,0.0,0.0,0.0,0.0,Defender,
Davide Faraoni,ITA,Fiorentina,it Serie A,31 years,4.4,8,1.84,7.0,0.0,0.0,1.0,0.0,0.0,1,0.23,1.0,0.0,0.0,0.0,0.0,0.0,Defender,
Ansu Fati,ESP,Brighton,eng Premier League,20 years,5.8,23,3.96,16.0,0.0,1.0,5.0,0.0,1.0,3,0.52,2.0,0.0,0.0,1.0,0.0,0.0,Midfielder,Forward
Ansu Fati,ESP,Barcelona,es La Liga,20 years,0.6,1,1.8,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Midfielder,Forward
Khalil Fayad,FRA,Montpellier,fr Ligue 1,19 years,11.4,19,1.67,10.0,0.0,0.0,2.0,6.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Forward,Midfielder
Federico Fazio,ARG,Salernitana,it Serie A,36 years,15.1,9,0.6,7.0,0.0,0.0,2.0,0.0,0.0,2,0.13,1.0,0.0,0.0,1.0,0.0,0.0,Defender,
Jacopo Fazzini,ITA,Empoli,it Serie A,20 years,13.7,48,3.51,29.0,9.0,2.0,0.0,5.0,3.0,4,0.29,2.0,0.0,1.0,0.0,1.0,0.0,Midfielder,
Nabil Fekir,FRA,Betis,es La Liga,30 years,11.7,60,5.14,38.0,11.0,3.0,3.0,5.0,0.0,3,0.26,2.0,0.0,1.0,0.0,0.0,0.0,Midfielder,Forward
Felipe,BRA,Nottingham Forest,eng Premier League,34 years,4.2,4,0.97,2.0,0.0,0.0,1.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender,
Luiz Felipe,ITA,Betis,es La Liga,26 years,4.0,2,0.5,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender,
João Félix,POR,Barcelona,es La Liga,23 years,17.1,62,3.62,43.0,0.0,7.0,9.0,2.0,1.0,9,0.53,4.0,0.0,2.0,3.0,0.0,0.0,Forward,
Ohis Felix Uduokhai,GER,Augsburg,de Bundesliga,25 years,32.5,20,0.62,12.0,2.0,0.0,2.0,1.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender,
Kiko Femenía,ESP,Villarreal,es La Liga,32 years,17.6,31,1.76,26.0,4.0,0.0,0.0,0.0,1.0,4,0.23,3.0,1.0,0.0,0.0,0.0,0.0,Defender,
Evan Ferguson,IRL,Brighton,eng Premier League,18 years,15.2,22,1.45,15.0,0.0,2.0,1.0,3.0,1.0,1,0.07,0.0,0.0,0.0,0.0,1.0,0.0,Forward,
Lewis Ferguson,SCO,Bologna,it Serie A,23 years,30.1,83,2.75,67.0,2.0,2.0,5.0,6.0,1.0,9,0.3,6.0,0.0,1.0,0.0,2.0,0.0,Midfielder,
Bruno Fernandes,POR,Manchester Utd,eng Premier League,28 years,34.6,210,6.06,143.0,48.0,7.0,9.0,1.0,2.0,19,0.55,12.0,3.0,2.0,2.0,0.0,0.0,Midfielder,Forward
Edimilson Fernandes,SUI,Mainz 05,de Bundesliga,27 years,14.3,35,2.44,15.0,15.0,1.0,3.0,0.0,1.0,2,0.14,1.0,1.0,0.0,0.0,0.0,0.0,Defender,
Aitor Fernández,ESP,Osasuna,es La Liga,32 years,6.1,1,0.16,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Goalkeeper,
Álex Fernández,ESP,Cádiz,es La Liga,30 years,14.3,26,1.82,17.0,7.0,0.0,2.0,0.0,0.0,2,0.14,2.0,0.0,0.0,0.0,0.0,0.0,Midfielder,
Carlos Fernández,ESP,Real Sociedad,es La Liga,27 years,4.5,3,0.66,2.0,0.0,0.0,0.0,0.0,1.0,1,0.22,1.0,0.0,0.0,0.0,0.0,0.0,Forward,
Enzo Fernández,ARG,Chelsea,eng Premier League,22 years,24.5,82,3.34,69.0,5.0,0.0,3.0,5.0,0.0,7,0.29,5.0,1.0,0.0,0.0,1.0,0.0,Midfielder,
Raúl Fernández,ESP,Granada,es La Liga,35 years,3.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Goalkeeper,
Valery Fernández,ESP,Girona,es La Liga,23 years,5.6,14,2.49,10.0,1.0,2.0,0.0,1.0,0.0,3,0.53,1.0,0.0,1.0,0.0,1.0,0.0,Midfielder,Forward
Fernando,ESP,Almería,es La Liga,33 years,4.0,1,0.25,1.0,0.0,0.0,0.0,0.0,0.0,1,0.25,1.0,0.0,0.0,0.0,0.0,0.0,Goalkeeper,
Fernando,BRA,Sevilla,es La Liga,36 years,5.1,8,1.57,8.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Midfielder,
Ichem Ferrah,FRA,Lille,fr Ligue 1,17 years,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Forward,
Andrea Ferraris,ITA,Monza,it Serie A,20 years,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Midfielder,
André Ferreira,POR,Granada,es La Liga,27 years,14.9,2,0.13,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Goalkeeper,
João Ferreira,POR,Udinese,it Serie A,22 years,20.2,34,1.68,25.0,4.0,0.0,0.0,1.0,4.0,2,0.1,1.0,1.0,0.0,0.0,0.0,0.0,Defender,
Jordan Ferri,FRA,Montpellier,fr Ligue 1,31 years,22.6,67,2.97,58.0,2.0,2.0,1.0,3.0,1.0,2,0.09,2.0,0.0,0.0,0.0,0.0,0.0,Midfielder,
Nacho Ferri,ESP,Eintracht Frankfurt,de Bundesliga,18 years,0.8,2,2.43,1.0,0.0,0.0,1.0,0.0,0.0,1,1.22,1.0,0.0,0.0,0.0,0.0,0.0,Forward,Midfielder
Rachad Fettal,MAR,Almería,es La Liga,18 years,0.2,2,10.59,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Forward,
Seydou Fini,ITA,Genoa,it Serie A,17 years,0.4,1,2.5,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender,Forward
Max Finkgräfe,GER,Köln,de Bundesliga,19 years,19.5,40,2.05,27.0,6.0,3.0,1.0,1.0,2.0,1,0.05,1.0,0.0,0.0,0.0,0.0,0.0,Defender,Forward
Vincenzo Fiorillo,ITA,Salernitana,it Serie A,33 years,4.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Goalkeeper,
Kilian Fischer,GER,Wolfsburg,de Bundesliga,22 years,3.2,6,1.85,6.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender,Midfielder
John Fleck,SCO,Sheffield Utd,eng Premier League,31 years,1.0,4,3.91,4.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Midfielder,Defender
Mark Flekken,NED,Brentford,eng Premier League,30 years,36.5,10,0.27,3.0,7.0,0.0,0.0,0.0,0.0,3,0.08,1.0,2.0,0.0,0.0,0.0,0.0,Goalkeeper,
Alessandro Florenzi,ITA,Milan,it Serie A,32 years,19.2,85,4.41,47.0,28.0,0.0,7.0,1.0,2.0,7,0.36,2.0,4.0,0.0,1.0,0.0,0.0,Defender,
Phil Foden,ENG,Manchester City,eng Premier League,23 years,31.7,144,4.54,111.0,9.0,9.0,6.0,8.0,1.0,21,0.66,16.0,1.0,1.0,0.0,3.0,0.0,Forward,Midfielder
Wes Foderingham,ENG,Sheffield Utd,eng Premier League,32 years,29.4,4,0.14,4.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Goalkeeper,
Malick Fofana,BEL,Lyon,fr Ligue 1,18 years,6.2,19,3.05,11.0,0.0,2.0,3.0,2.0,1.0,3,0.48,1.0,0.0,0.0,1.0,1.0,0.0,Forward,
Youssouf Fofana,FRA,Monaco,fr Ligue 1,24 years,30.0,100,3.34,79.0,3.0,2.0,11.0,2.0,3.0,10,0.33,6.0,0.0,0.0,4.0,0.0,0.0,Midfielder,
Jonas Föhrenbach,GER,Heidenheim,de Bundesliga,27 years,31.0,50,1.61,37.0,8.0,2.0,1.0,2.0,0.0,5,0.16,4.0,1.0,0.0,0.0,0.0,0.0,Defender,
Thomas Foket,BEL,Reims,fr Ligue 1,28 years,20.4,30,1.48,27.0,2.0,0.0,1.0,0.0,0.0,6,0.3,6.0,0.0,0.0,0.0,0.0,0.0,Defender,
Michael Folorunsho,ITA,Hellas Verona,it Serie A,25 years,30.9,46,1.49,34.0,0.0,4.0,1.0,7.0,0.0,3,0.1,1.0,0.0,2.0,0.0,0.0,0.0,Midfielder,Forward
Tiago Fonseca Morais,POR,Lille,fr Ligue 1,19 years,0.5,1,1.96,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Forward,
Pablo Fornals,ESP,West Ham,eng Premier League,27 years,4.7,16,3.37,13.0,0.0,0.0,0.0,1.0,2.0,1,0.21,0.0,0.0,0.0,0.0,0.0,1.0,Midfielder,Forward
Pablo Fornals,ESP,Betis,es La Liga,27 years,12.8,45,3.53,37.0,3.0,2.0,2.0,1.0,0.0,6,0.47,5.0,0.0,0.0,1.0,0.0,0.0,Forward,Midfielder
